k=0.800,k=0.825,k=0.850,k=0.875,k=0.900,k=0.925,k=0.950,k=0.975,k=1.000,k=1.025,k=1.050,k=1.075,k=1.100,k=1.125,k=1.150,k=1.175,T,Price,Strike
0.590158,0.587847,0.585669,0.583619,0.581693,0.579885,0.578193,0.576611,0.575135,0.573761,0.572485,0.571303,0.570211,0.569205,0.568282,0.567437,0.803253,0.290351,1.131348
0.696586,0.695513,0.694532,0.693637,0.692822,0.692083,0.691415,0.690813,0.690273,0.689792,0.689365,0.688990,0.688663,0.688382,0.688143,0.687945,1.638051,0.476178,1.199512
0.739367,0.737571,0.735846,0.734188,0.732594,0.731061,0.729585,0.728163,0.726794,0.725474,0.724202,0.722975,0.721790,0.720647,0.719544,0.718479,1.272125,0.109536,0.631348
0.734453,0.730414,0.726513,0.722747,0.719111,0.715601,0.712213,0.708945,0.705792,0.702753,0.699825,0.697004,0.694288,0.691676,0.689163,0.686749,0.773305,0.167835,0.863184
0.874850,0.874079,0.873335,0.872616,0.871921,0.871248,0.870596,0.869965,0.869352,0.868757,0.868180,0.867619,0.867073,0.866542,0.866025,0.865522,0.879995,0.573331,1.361621
0.487187,0.486632,0.486159,0.485763,0.485439,0.485182,0.484988,0.484853,0.484772,0.484742,0.484760,0.484822,0.484924,0.485065,0.485240,0.485447,1.249196,0.165819,0.915918
0.487124,0.482305,0.477649,0.473153,0.468817,0.464639,0.460618,0.456754,0.453044,0.449489,0.446087,0.442838,0.439739,0.436790,0.433989,0.431334,1.660044,0.136741,0.807324
0.544202,0.544189,0.544178,0.544169,0.544160,0.544154,0.544148,0.544144,0.544140,0.544138,0.544137,0.544136,0.544137,0.544138,0.544140,0.544142,1.128469,0.246722,1.017090
0.570890,0.567683,0.564586,0.561594,0.558705,0.555913,0.553216,0.550611,0.548095,0.545664,0.543316,0.541049,0.538861,0.536748,0.534709,0.532741,1.742401,0.435600,1.228027
0.288987,0.288338,0.287709,0.287100,0.286509,0.285935,0.285378,0.284837,0.284310,0.283798,0.283299,0.282813,0.282340,0.281878,0.281428,0.280989,0.912750,0.226204,1.179785
0.730999,0.729093,0.727289,0.725583,0.723968,0.722441,0.720996,0.719629,0.718336,0.717114,0.715958,0.714866,0.713834,0.712860,0.711940,0.711072,1.321259,0.160747,0.730957
0.665240,0.662304,0.659452,0.656680,0.653984,0.651362,0.648809,0.646322,0.643900,0.641538,0.639236,0.636991,0.634800,0.632662,0.630575,0.628537,0.453705,0.259623,1.128809
0.709936,0.706819,0.703812,0.700909,0.698107,0.695399,0.692785,0.690259,0.687818,0.685460,0.683181,0.680979,0.678852,0.676796,0.674810,0.672891,0.184642,0.168454,1.076465
0.748656,0.744935,0.741317,0.737798,0.734373,0.731038,0.727790,0.724625,0.721540,0.718532,0.715597,0.712735,0.709942,0.707215,0.704554,0.701956,0.743357,0.264573,1.001855
0.742638,0.741749,0.740887,0.740052,0.739241,0.738454,0.737688,0.736944,0.736219,0.735514,0.734826,0.734156,0.733502,0.732863,0.732240,0.731630,1.966543,0.237528,0.750293
0.316121,0.312260,0.308653,0.305313,0.302251,0.299477,0.297000,0.294826,0.292958,0.291394,0.290128,0.289152,0.288453,0.288013,0.287814,0.287836,1.455556,0.298173,1.218652
0.762172,0.757646,0.753208,0.748853,0.744576,0.740373,0.736241,0.732174,0.728170,0.724225,0.720337,0.716503,0.712719,0.708984,0.705295,0.701650,1.175730,0.139545,0.664355
0.868543,0.865959,0.863438,0.860977,0.858573,0.856221,0.853921,0.851669,0.849463,0.847301,0.845180,0.843100,0.841057,0.839052,0.837081,0.835144,0.155162,0.041837,0.780176
0.680658,0.673867,0.667226,0.660732,0.654382,0.648175,0.642111,0.636188,0.630407,0.624768,0.619274,0.613924,0.608721,0.603666,0.598761,0.594007,1.096649,0.125971,0.737988
0.725353,0.724746,0.724162,0.723599,0.723056,0.722531,0.722025,0.721534,0.721060,0.720601,0.720156,0.719724,0.719306,0.718899,0.718504,0.718121,0.145335,0.008574,0.611035
0.590984,0.588885,0.586874,0.584949,0.583104,0.581337,0.579643,0.578021,0.576467,0.574978,0.573552,0.572187,0.570879,0.569627,0.568428,0.567281,1.802765,0.140791,0.715137
0.336936,0.325422,0.313814,0.302117,0.290369,0.278676,0.267268,0.256595,0.247399,0.240610,0.236886,0.236143,0.237685,0.240713,0.244614,0.248990,0.131297,0.330433,1.334082
0.449862,0.447625,0.445676,0.444013,0.442631,0.441524,0.440683,0.440096,0.439751,0.439633,0.439725,0.440013,0.440477,0.441103,0.441872,0.442770,1.317047,0.057803,0.676270
0.801929,0.801842,0.801759,0.801678,0.801600,0.801524,0.801451,0.801380,0.801311,0.801244,0.801179,0.801116,0.801054,0.800994,0.800936,0.800879,1.656301,0.337117,0.919629
0.784907,0.783718,0.782635,0.781654,0.780767,0.779969,0.779255,0.778619,0.778057,0.777565,0.777137,0.776771,0.776463,0.776209,0.776005,0.775849,0.323619,0.231943,1.108301
0.643234,0.641398,0.639609,0.637865,0.636163,0.634500,0.632876,0.631287,0.629733,0.628212,0.626722,0.625261,0.623829,0.622425,0.621046,0.619693,0.577708,0.329941,1.222754
0.714372,0.709343,0.704441,0.699659,0.694995,0.690443,0.686001,0.681664,0.677429,0.673294,0.669256,0.665313,0.661461,0.657700,0.654028,0.650441,1.937998,0.490610,1.191504
0.845575,0.845054,0.844572,0.844125,0.843711,0.843328,0.842975,0.842648,0.842347,0.842070,0.841815,0.841582,0.841368,0.841173,0.840995,0.840834,0.993703,0.123311,0.630176
0.375682,0.369022,0.362669,0.356682,0.351131,0.346098,0.341666,0.337916,0.334910,0.332687,0.331248,0.330560,0.330557,0.331154,0.332258,0.333776,0.578176,0.023484,0.722559
0.698082,0.691428,0.684867,0.678395,0.672004,0.665689,0.659444,0.653264,0.647144,0.641080,0.635068,0.629104,0.623185,0.617307,0.611467,0.605662,1.254344,0.276917,0.986426
0.673240,0.673045,0.672874,0.672726,0.672598,0.672489,0.672397,0.672322,0.672262,0.672216,0.672183,0.672163,0.672153,0.672155,0.672167,0.672187,0.487396,0.187969,0.995996
0.408150,0.398529,0.388863,0.379133,0.369318,0.359396,0.349347,0.339149,0.328784,0.318236,0.307498,0.296578,0.285505,0.274345,0.263216,0.252297,0.395681,0.096102,1.026074
0.815435,0.815053,0.814683,0.814324,0.813975,0.813635,0.813304,0.812983,0.812669,0.812363,0.812064,0.811772,0.811487,0.811209,0.810937,0.810670,0.588470,0.142134,0.818457
0.777936,0.776135,0.774399,0.772725,0.771109,0.769548,0.768039,0.766580,0.765169,0.763803,0.762480,0.761198,0.759956,0.758751,0.757582,0.756448,0.496287,0.082518,0.708496
0.641490,0.639445,0.637585,0.635905,0.634396,0.633053,0.631866,0.630830,0.629936,0.629177,0.628547,0.628037,0.627640,0.627350,0.627160,0.627062,1.095245,0.228208,0.952832
0.679698,0.679133,0.678586,0.678057,0.677544,0.677047,0.676565,0.676096,0.675641,0.675199,0.674768,0.674348,0.673940,0.673542,0.673153,0.672774,0.537465,0.379576,1.276074
0.526112,0.525030,0.523980,0.522958,0.521963,0.520994,0.520050,0.519129,0.518230,0.517352,0.516494,0.515655,0.514835,0.514032,0.513246,0.512476,1.619802,0.460350,1.282520
0.653169,0.647692,0.642303,0.636996,0.631766,0.626607,0.621516,0.616488,0.611518,0.606604,0.601742,0.596927,0.592158,0.587431,0.582744,0.578094,0.946442,0.225161,0.966895
0.845135,0.844461,0.843823,0.843220,0.842649,0.842107,0.841594,0.841107,0.840645,0.840207,0.839790,0.839395,0.839019,0.838662,0.838322,0.838000,0.743825,0.076043,0.622754
0.357472,0.357086,0.356713,0.356350,0.355999,0.355658,0.355326,0.355004,0.354690,0.354384,0.354086,0.353796,0.353513,0.353236,0.352966,0.352702,0.702179,0.201612,1.124707
0.599860,0.594371,0.589004,0.583755,0.578623,0.573602,0.568693,0.563892,0.559200,0.554615,0.550137,0.545766,0.541503,0.537349,0.533303,0.529369,0.512665,0.364838,1.328027
0.647869,0.647025,0.646228,0.645475,0.644764,0.644092,0.643456,0.642855,0.642287,0.641749,0.641241,0.640760,0.640305,0.639875,0.639468,0.639084,1.752696,0.195988,0.763184
0.337944,0.334178,0.330638,0.327339,0.324302,0.321544,0.319081,0.316928,0.315093,0.313579,0.312384,0.311498,0.310904,0.310583,0.310512,0.310663,0.797638,0.280390,1.249902
0.559767,0.559276,0.558804,0.558349,0.557911,0.557489,0.557081,0.556688,0.556307,0.555940,0.555584,0.555239,0.554905,0.554581,0.554267,0.553962,0.848175,0.186230,0.962793
0.464762,0.460727,0.456895,0.453263,0.449827,0.446583,0.443528,0.440656,0.437966,0.435451,0.433109,0.430935,0.428925,0.427072,0.425373,0.423821,1.867808,0.336999,1.170410
0.762480,0.757363,0.752342,0.747412,0.742568,0.737805,0.733118,0.728504,0.723958,0.719478,0.715059,0.710699,0.706395,0.702144,0.697943,0.693791,0.402700,0.153763,0.941895
0.688016,0.687063,0.686137,0.685238,0.684365,0.683516,0.682689,0.681884,0.681099,0.680333,0.679587,0.678857,0.678145,0.677449,0.676768,0.676102,0.236115,0.017443,0.733691
0.500076,0.495495,0.491029,0.486675,0.482430,0.478291,0.474256,0.470322,0.466489,0.462753,0.459115,0.455572,0.452122,0.448767,0.445503,0.442330,1.463511,0.190759,0.943652
0.840822,0.839066,0.837357,0.835692,0.834069,0.832486,0.830941,0.829431,0.827956,0.826513,0.825101,0.823719,0.822365,0.821038,0.819737,0.818461,1.989003,0.711864,1.368066
0.746288,0.745907,0.745538,0.745179,0.744830,0.744491,0.744160,0.743838,0.743524,0.743218,0.742919,0.742627,0.742341,0.742062,0.741789,0.741522,0.289459,0.383687,1.309863
0.638964,0.637084,0.635437,0.634017,0.632813,0.631817,0.631020,0.630410,0.629977,0.629710,0.629599,0.629632,0.629798,0.630088,0.630491,0.630996,0.751780,0.484737,1.356934
0.349018,0.344725,0.340771,0.337186,0.333994,0.331220,0.328883,0.326992,0.325550,0.324549,0.323971,0.323789,0.323970,0.324477,0.325271,0.326312,0.869700,0.247802,1.183691
